pathway,T1_D1_DP1,T2_D2_DP2,CA_DP2,T2_D0_DP1,T4_D1_DP2,T1_D1_DP3,T1_D3_DP2,T2_D3_DP2,CC_DP2,T2_D3_DP3,T2_D2_DP1,T1_D2_DP1,T4_D0_DP1,T4_D1_DP3,T3_D0_DP1,T2_D3_DP1,T1_D0_DP1,CC_DP1,T5_D3_DP3,CC_DP3,T2_D1_DP2,CB_DP3,T1_D2_DP2,CA_DP1,T4_D3_DP1,T5_D2_DP3,T3_D2_DP2,T5_D2_DP2,T5_D3_DP2,T3_D3_DP1,T4_D3_DP3,T2_D1_DP3,T4_D1_DP1,T1_D2_DP3,T4_D2_DP1,CA_DP3,T5_D2_DP1,T5_D1_DP3,CB_DP1,T3_D2_DP3,T5_D0_DP1,T3_D3_DP3,T3_D3_DP2,T3_D1_DP2,T1_D3_DP1,CB_DP2,T3_D2_DP1,T5_D1_DP1,T4_D3_DP2,T3_D1_DP3,T4_D2_DP3,T3_D1_DP1,T4_D2_DP2,T5_D3_DP1,T5_D1_DP2,T1_D3_DP3,T2_D1_DP1,T2_D2_DP3,T1_D1_DP2
PWY-181,7826.063309,27885.06122,17886.38274,56186.24791,31517.23832,1283.624796,18237.90857,31914.90126,30903.1104,47144.14271,28972.19297,794.268485,55528.32266,46460.73392,45745.65078,42904.99627,11497.64587,78273.33646,68166.93596,50579.21916,45540.99159,39921.01938,5659.293873,86093.06968,47458.93787,60787.5559,40312.39334,30452.49826,28217.1392,38707.77173,45988.46288,67611.87179,44624.86204,7923.291866,41249.92262,53425.10444,39839.24149,42181.38663,46443.20525,58346.85898,76552.02773,38857.22925,72821.51037,34078.35713,77821.21028,23144.4014,16917.40936,51622.07318,44591.10105,55738.69351,44652.37471,61414.05105,36367.54112,44539.28521,31627.44356,59894.93957,4865.376784,55751.25092,8710.884245
PWY-1861,1635.640119,16115.68509,10283.62425,26450.2612,8209.30337,144.706041,10167.76931,16751.68625,15259.77725,4781.835436,12260.62592,235.4126199,25372.34969,10398.87002,20617.58234,18701.15469,5913.245761,40960.46141,9814.423935,8311.524341,19030.32154,9135.172701,722.7042713,36291.54291,21465.88472,8415.541908,22309.28105,14812.96471,16383.36584,17648.933,10022.92176,9243.890711,20806.93463,545.4217406,18756.15017,11239.21067,19180.46152,4617.999639,20765.6623,12161.14408,38832.01115,15417.99574,35807.73473,12781.29689,35636.36669,12749.34851,7133.929592,24949.90636,20908.92695,13117.00745,7844.449926,28380.42381,15523.42673,21053.92633,18531.66484,12038.79039,1597.603751,5550.07389,585.4998686
PWY-1882,61.07995825,225.0834937,79.62101133,1301.44612,368.7590406,17.16402875,144.0164009,215.2634332,309.2313825,99.76310587,79.1177978,1.490333967,493.0095971,75.99015866,725.5694812,73.67548017,855.8160573,1437.777491,96.89310488,427.1741717,357.5320021,67.4913307,242.3230015,1129.392975,717.5267591,160.6458093,180.261369,254.8672476,87.33526364,735.7503979,71.8186373,179.3086456,583.2835549,105.9661798,557.0880638,131.3784704,415.2365532,71.6000752,168.2600764,96.38441343,840.8454441,176.6566503,174.0318628,212.4164732,806.1656147,129.0977526,482.905957,313.730678,311.954591,132.4918499,67.44204529,399.9217739,323.9055537,1972.253313,199.8265989,162.6879749,893.7284866,43.25416841,28.43131781
PWY-2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97712297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999235835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-2941,31.94591117,0,3.999798381,167.148671,0,855.9868176,0,11.99887452,3.999869078,2086.658677,0,211.6813474,27.99474982,6.279733102,227.6086897,0,274.3284529,359.4260364,145.6047737,91.94519515,11.99913159,3.999889523,35.03781213,909.6071868,7.999556566,129.6149093,7.999643753,3.999877636,0,19.99664761,22.83663572,2434.292102,7.999537812,1173.210325,71.95956424,41.71078558,47.98071346,48.53914013,0,81.12469136,13.99912556,4.559869141,71.97516674,21.15660781,19.99821487,0.559996782,127.6953421,15.99819505,24.55687212,59.9805914,332.8715774,19.99774921,45.7064323,432.527474,7.999543519,94.23447597,7.995662707,890.4839296,63.93464397
PWY-2942,14272.77984,90037.53076,60209.24673,122464.5015,98688.04176,4973.776649,59047.39141,96964.01359,92599.45737,86946.73594,57437.30808,2167.830936,111972.0715,112001.8001,99501.92408,87524.78575,34015.12194,169136.729,138917.5241,116861.4706,125810.0503,109626.5717,21871.9755,167924.9427,108275.9115,120711.412,136612.7929,99122.94939,89433.43861,89493.66031,117047.1148,142901.931,103885.3578,30383.53306,96116.52643,142597.3582,89553.96556,85170.87494,93715.26185,141141.1035,168114.3761,120983.0541,156471.4591,100121.7794,168049.587,73779.66749,40275.50396,106350.3212,146150.8093,140333.9569,99242.13351,133274.7166,116986.0087,95617.06465,106398.6913,147478.0331,11002.11001,109076.1323,47290.57428
PWY-3001,15373.56171,96952.09522,64531.01112,121217.052,106111.014,5030.831495,63675.42025,104622.3579,99026.44023,88092.98423,58855.98459,2154.208266,109604.3325,114916.9525,100162.5443,90274.97459,34340.00561,169538.8367,137811.3773,121931.7358,135591.2301,115841.3937,22528.34314,170105.2891,109327.2696,119129.9259,148537.7234,106925.9084,96274.17812,89564.71997,119429.7479,145077.7146,104995.0132,31958.1101,96403.78636,149039.9178,89926.33893,84199.66069,95964.53523,144599.3558,168940.2403,131009.5527,162017.1384,107511.9242,171502.1628,78836.03653,40707.88086,107493.9753,157286.3743,142329.8386,101779.7459,135406.6813,126194.7115,95703.16146,115245.7649,150093.311,11143.62559,111694.5002,49726.24077
PWY-3081,0,0,0,20.89327992,0,0,0,0,0,0,0,0,0,0,0,0,0,9.159195841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.672043303,0,0,0,6.191801898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-3661,4893.86478,47670.95628,32156.03962,21596.53068,37076.49716,399.4303268,30453.37382,50362.53166,46787.40364,37154.63655,16781.07846,808.5073998,24378.78449,52984.07748,21929.64357,27781.31102,2996.366327,31217.41141,64485.45413,56674.50128,65010.87723,57942.00125,462.3683405,36463.02513,28275.33433,52532.25129,73499.90576,53248.04351,46259.06645,24629.84211,53680.38178,65541.65321,26306.47674,2213.590802,23702.6149,77318.49421,20569.57574,39311.25653,26457.58152,68375.93678,36798.0893,63013.96851,44727.58261,52064.7595,45391.80439,38085.71881,8910.812416,24217.20953,77829.02395,59219.77992,45936.03637,32583.61054,63372.40048,20679.56401,56450.70626,73191.06226,1301.860523,61383.35493,3339.568422
PWY-3781,36269.16935,232950.5879,155926.0482,307864.3328,253927.4033,9892.133988,152631.4023,249776.7416,237099.6876,190966.7292,145855.7002,5677.347268,283555.3588,262556.109,248189.9727,221406.4262,86261.95683,425403.2592,309611.4407,281417.656,321694.8205,271585.6516,58830.45755,422677.9251,269834.5444,266400.8006,356752.277,257205.1514,230209.0139,222929.3298,272287.0026,321427.0532,259136.6316,64388.34447,238603.3155,349132.1565,223873.9885,189077.465,235988.6284,333059.1684,420408.3237,312479.9364,397957.577,255074.2544,422239.3917,190300.7215,99803.17943,268694.1964,375849.1338,325102.7123,231103.9613,335845.1925,302022.8213,239658.3792,278574.5755,348782.6698,28417.545,249737.3685,62100.20972
